text,SNAP,Medicaid,Section8_Housing,TANF,LIHEAP,household_income_pct_fpl,housing_status,citizenship_status,has_dependent_children,has_utility_bills
I am currently unemployed and have been looking for work for 18 months. I am currently renting an apartment for $1733 per month. I am a single parent with 3 kids. I have been managing hypertension without proper medical care due to cost. My utility bills take up a large portion of my income. I do not have legal immigration status.,0,0,0,0,1,96,staying_with_family,undocumented,True,True
I receive disability benefits of $4356 per month and cannot work. I recently became homeless after my landlord evicted me. I live alone. I have a chronic condition (arthritis) that requires regular medication. My utility bills take up a large portion of my income.,0,0,0,0,0,363,owned,citizen,False,True
I work part-time at a cleaning service earning about $1632 per month. I am staying with family temporarily as I cannot afford my own place. I live alone. I have been managing hypertension without proper medical care due to cost.,0,1,0,0,0,136,renting,citizen,False,False
"I am self-employed doing freelance cleaning work, my income varies month to month. I am currently renting an apartment for $995 per month. I am a single parent with 3 kids. I have been managing arthritis without proper medical care due to cost. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,107,renting,qualified_alien,True,True
I am currently unemployed and have been looking for work for 4 months. I am renting a room in a shared house for $1647 per month. I live with my spouse and 2 children. I am pregnant and currently uninsured. I am behind on my heating bills by $336.,1,1,0,1,1,73,owned,citizen,True,True
I am a full-time caregiver for my spouse and have no outside income. I own my home but am struggling to keep up with the mortgage. I am caring for my elderly father who lives with me. I recently lost my employer-sponsored health insurance. My utility bills take up a large portion of my income.,0,0,0,0,0,173,renting,citizen,True,True
I recently lost my job at a local restaurant due to layoffs. I have been unhoused for 4 months and am staying in a shelter. I have 1 children ages 8. I am pregnant and currently uninsured. I struggle every month to pay my utility bills on time. I do not have legal immigration status.,0,0,0,0,0,314,unhoused,undocumented,True,True
I am currently unemployed and have been looking for work for 4 months. I am renting a room in a shared house for $1110 per month. I live with my partner. I recently lost my employer-sponsored health insurance. My utility bills take up a large portion of my income. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,0,384,staying_with_family,qualified_alien,False,True
I receive disability benefits of $4284 per month and cannot work. I am currently renting an apartment for $1185 per month. I am a single parent with 3 kids. I recently lost my employer-sponsored health insurance. I am behind on my heating bills by $511.,0,0,0,0,0,357,staying_with_family,citizen,True,True
"I work 10 hours a week at cleaning service, making $2208 monthly. I have been unhoused for 7 months and am staying in a shelter. I share an apartment with a roommate. I have been managing arthritis without proper medical care due to cost. My utility bills take up a large portion of my income. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,184,staying_with_family,qualified_alien,False,True
"I work 25 hours a week at retail shop, making $3744 monthly. I am renting a room in a shared house for $655 per month. I share an apartment with a roommate. My child has asthma and needs ongoing medical care. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,312,renting,qualified_alien,False,True
"I receive disability benefits of $1164 per month and cannot work. I am renting a room in a shared house for $706 per month. I live alone. I have been managing diabetes without proper medical care due to cost. My electricity bill has been very high this winter, around $536 per month.",1,1,0,0,1,97,staying_with_family,citizen,False,True
"I am self-employed doing food delivery work, my income varies month to month. I have been unhoused for 10 months and am staying in a shelter. I live alone. I am pregnant and currently uninsured.",1,1,0,1,0,96,unhoused,citizen,True,False
I work part-time at a restaurant earning about $312 per month. I own my home but am struggling to keep up with the mortgage. I live with my spouse and 2 children. I am pregnant and currently uninsured. I struggle every month to pay my utility bills on time.,1,1,1,1,1,26,renting,citizen,True,True
"I am a student and work part-time, earning around $1524 a month. I own my home but am struggling to keep up with the mortgage. I am a single parent with 3 kids. I recently lost my employer-sponsored health insurance.",1,1,0,0,0,127,renting,citizen,True,False
I receive disability benefits of $1524 per month and cannot work. I am renting a room in a shared house for $1687 per month. I live with my partner. I have been managing arthritis without proper medical care due to cost. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,0,127,staying_with_family,qualified_alien,False,False
I work part-time at a warehouse earning about $2268 per month. I recently became homeless after my landlord evicted me. I live with my partner. I have no health insurance.,0,0,0,0,0,189,owned,citizen,False,False
I am currently unemployed and have been looking for work for 18 months. I am renting a room in a shared house for $1182 per month. I live with my partner. My child has hypertension and needs ongoing medical care. I do not have legal immigration status.,0,0,0,0,0,177,renting,undocumented,False,False
I am currently unemployed and have been looking for work for 5 months. I am renting a room in a shared house for $1452 per month. I am caring for my elderly father who lives with me. I am pregnant and currently uninsured. I received a shutoff notice for my gas service. I am a legal permanent resident and have been in the US for over 5 years.,1,1,1,0,1,31,renting,qualified_alien,True,True
I recently lost my job at Target due to layoffs. I recently became homeless after my landlord evicted me. I live alone. I have been managing asthma without proper medical care due to cost.,1,1,0,1,0,84,unhoused,citizen,True,False
I work part-time at a warehouse earning about $948 per month. I own my home but am struggling to keep up with the mortgage. I live with my spouse and 3 children. I have no health insurance. I received a shutoff notice for my gas service.,1,1,0,1,1,79,unhoused,citizen,True,True
"I am a student and work part-time, earning around $432 a month. I own my home but am struggling to keep up with the mortgage. I live with my partner. My child has hypertension and needs ongoing medical care. I received a shutoff notice for my gas service. I do not have legal immigration status.",0,0,0,0,1,36,owned,undocumented,False,True
"I am a student and work part-time, earning around $3672 a month. I am renting a room in a shared house for $602 per month. I am caring for my elderly grandmother who lives with me. I have a chronic condition (arthritis) that requires regular medication. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,306,owned,qualified_alien,True,True
I work part-time at a cleaning service earning about $1644 per month. I am currently renting an apartment for $1731 per month. I live alone. I recently lost my employer-sponsored health insurance. I struggle every month to pay my utility bills on time.,0,1,0,0,1,137,unhoused,citizen,False,True
"I am self-employed doing handyman work, my income varies month to month. I am renting a room in a shared house for $879 per month. I am a single parent with 4 kids. I have been managing hypertension without proper medical care due to cost. My utility bills take up a large portion of my income. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,194,owned,qualified_alien,True,True
"I am a student and work part-time, earning around $3780 a month. I am currently renting an apartment for $1251 per month. I live with my spouse and 4 children. I recently lost my employer-sponsored health insurance. My utility bills take up a large portion of my income.",0,0,0,0,0,315,owned,citizen,True,True
I recently lost my job at a local restaurant due to layoffs. I am currently renting an apartment for $1272 per month. I share an apartment with a roommate. My child has hypertension and needs ongoing medical care. I struggle every month to pay my utility bills on time.,0,0,0,0,0,226,renting,citizen,False,True
I work part-time at a warehouse earning about $1668 per month. I am currently renting an apartment for $1200 per month. I live with my partner. My child has asthma and needs ongoing medical care.,0,0,0,0,0,139,unhoused,citizen,False,False
"I am self-employed doing food delivery work, my income varies month to month. I have been unhoused for 5 months and am staying in a shelter. I share an apartment with a roommate. I have no health insurance. I received a shutoff notice for my gas service.",1,1,0,0,1,114,unhoused,citizen,False,True
"I receive disability benefits of $1680 per month and cannot work. I am renting a room in a shared house for $1335 per month. I am a single parent with 3 kids. I have no health insurance. My electricity bill has been very high this winter, around $460 per month. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,1,140,owned,qualified_alien,True,True
I recently lost my job at a local restaurant due to layoffs. I have been unhoused for 2 months and am staying in a shelter. I am a single parent with 3 kids. I am pregnant and currently uninsured. My utility bills take up a large portion of my income.,1,1,0,0,1,112,owned,citizen,True,True
I work part-time at a warehouse earning about $3192 per month. I am currently renting an apartment for $1141 per month. I live alone. I have a chronic condition (diabetes) that requires regular medication. I am behind on my heating bills by $391.,0,0,0,0,0,266,owned,citizen,True,True
"I work 20 hours a week at warehouse, making $1440 monthly. I am currently renting an apartment for $799 per month. I am caring for my elderly grandmother who lives with me. I have been managing arthritis without proper medical care due to cost. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,120,renting,qualified_alien,True,True
I am currently unemployed and have been looking for work for 12 months. I am currently renting an apartment for $1352 per month. I share an apartment with a roommate. I have a chronic condition (diabetes) that requires regular medication. I struggle every month to pay my utility bills on time. I do not have legal immigration status.,0,0,0,0,1,67,staying_with_family,undocumented,False,True
"I recently lost my job at Target due to layoffs. I am staying with family temporarily as I cannot afford my own place. I have 2 children ages 9, 6, 4. I have no health insurance.",1,1,0,1,0,88,renting,citizen,True,False
"I work 25 hours a week at grocery store, making $1932 monthly. I am renting a room in a shared house for $823 per month. I share an apartment with a roommate. I recently lost my employer-sponsored health insurance.",0,0,0,0,0,161,renting,citizen,False,False
"I work 10 hours a week at retail shop, making $3336 monthly. I am renting a room in a shared house for $903 per month. I have 3 children ages 11, 13, 10. I am pregnant and currently uninsured. I struggle every month to pay my utility bills on time.",0,0,0,0,0,278,renting,citizen,True,True
"I am a student and work part-time, earning around $1500 a month. I recently became homeless after my landlord evicted me. I have 4 children ages 3. I have no health insurance. My electricity bill has been very high this winter, around $531 per month. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,125,staying_with_family,qualified_alien,True,True
"I work 10 hours a week at restaurant, making $804 monthly. I am renting a room in a shared house for $1035 per month. I share an apartment with a roommate. My child has asthma and needs ongoing medical care. My electricity bill has been very high this winter, around $329 per month.",1,1,0,0,1,67,owned,citizen,False,True
"I am currently unemployed and have been looking for work for 9 months. I have been unhoused for 3 months and am staying in a shelter. I have 4 children ages 5. I have been managing diabetes without proper medical care due to cost. My electricity bill has been very high this winter, around $532 per month. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,178,unhoused,qualified_alien,True,True
I work part-time at a warehouse earning about $3696 per month. I own my home but am struggling to keep up with the mortgage. I share an apartment with a roommate. My child has depression and needs ongoing medical care. I received a shutoff notice for my gas service.,0,0,0,0,0,308,owned,citizen,False,True
I receive disability benefits of $3468 per month and cannot work. I have been unhoused for 3 months and am staying in a shelter. I am a single parent with 3 kids. I have been managing depression without proper medical care due to cost. I am behind on my heating bills by $216.,0,0,0,0,0,289,renting,citizen,True,True
I am currently unemployed and have been looking for work for 15 months. I recently became homeless after my landlord evicted me. I live alone. I am pregnant and currently uninsured. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,0,160,renting,qualified_alien,True,False
I work part-time at a restaurant earning about $2676 per month. I am currently renting an apartment for $1645 per month. I live alone. I am pregnant and currently uninsured. I am behind on my heating bills by $547.,0,0,0,0,0,223,renting,citizen,False,True
I work part-time at a retail shop earning about $504 per month. I have been unhoused for 8 months and am staying in a shelter. I live alone. My child has depression and needs ongoing medical care. I received a shutoff notice for my gas service.,1,1,1,0,1,42,unhoused,citizen,False,True
I receive disability benefits of $444 per month and cannot work. I am renting a room in a shared house for $985 per month. I am caring for my elderly mother who lives with me. I have a chronic condition (diabetes) that requires regular medication. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,0,37,owned,qualified_alien,True,False
"I am a full-time caregiver for my spouse and have no outside income. I am renting a room in a shared house for $707 per month. My household includes myself, my partner, and our 3 children. I am pregnant and currently uninsured. I received a shutoff notice for my gas service. I am a legal permanent resident and have been in the US for over 5 years.",1,1,0,0,1,122,staying_with_family,qualified_alien,True,True
"I work 25 hours a week at cleaning service, making $792 monthly. I have been unhoused for 11 months and am staying in a shelter. I share an apartment with a roommate. I have been managing arthritis without proper medical care due to cost. My electricity bill has been very high this winter, around $480 per month.",1,1,0,0,1,66,unhoused,citizen,False,True
"I am a student and work part-time, earning around $744 a month. I am currently renting an apartment for $1639 per month. I share an apartment with a roommate. I am pregnant and currently uninsured.",1,1,0,0,0,62,owned,citizen,False,False
I recently lost my job at a small business due to layoffs. I am renting a room in a shared house for $1183 per month. I live with my partner. I recently lost my employer-sponsored health insurance. I am behind on my heating bills by $308.,0,0,0,0,0,353,unhoused,citizen,False,True
"I work 10 hours a week at warehouse, making $3540 monthly. I own my home but am struggling to keep up with the mortgage. I live alone. My child has arthritis and needs ongoing medical care. I am behind on my heating bills by $575.",0,0,0,0,0,295,staying_with_family,citizen,True,True
"I am self-employed doing food delivery work, my income varies month to month. I am currently renting an apartment for $1286 per month. I live alone. I have no health insurance. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,159,renting,qualified_alien,False,True
"I work 10 hours a week at restaurant, making $876 monthly. I am staying with family temporarily as I cannot afford my own place. I share an apartment with a roommate. My child has diabetes and needs ongoing medical care. My electricity bill has been very high this winter, around $578 per month.",1,1,0,0,1,73,renting,citizen,False,True
"I am self-employed doing freelance cleaning work, my income varies month to month. I am renting a room in a shared house for $1639 per month. I share an apartment with a roommate. I have no health insurance. I struggle every month to pay my utility bills on time.",1,1,0,0,1,112,unhoused,citizen,False,True
I work part-time at a warehouse earning about $720 per month. I am staying with family temporarily as I cannot afford my own place. I live with my partner. I have been managing asthma without proper medical care due to cost. I am behind on my heating bills by $182.,1,1,0,0,1,60,owned,citizen,False,True
I am a full-time caregiver for my mother and have no outside income. I recently became homeless after my landlord evicted me. I am a single parent with 1 kids. My child has depression and needs ongoing medical care. I struggle every month to pay my utility bills on time.,0,0,0,0,0,189,unhoused,citizen,True,True
"I work 20 hours a week at retail shop, making $4536 monthly. I am currently renting an apartment for $1271 per month. I live with my partner. I have a chronic condition (depression) that requires regular medication. I do not have legal immigration status.",0,0,0,0,0,378,owned,undocumented,False,False
"I am a full-time caregiver for my father and have no outside income. I am renting a room in a shared house for $927 per month. I live alone. I am pregnant and currently uninsured. My electricity bill has been very high this winter, around $214 per month. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,243,owned,qualified_alien,False,True
I am a full-time caregiver for my father and have no outside income. I have been unhoused for 4 months and am staying in a shelter. I live alone. I have no health insurance. I struggle every month to pay my utility bills on time. I do not have legal immigration status.,0,0,0,0,0,293,renting,undocumented,False,True
"I am a student and work part-time, earning around $1752 a month. I recently became homeless after my landlord evicted me. My household includes myself, my partner, and our 3 children. I recently lost my employer-sponsored health insurance.",0,0,0,0,0,146,staying_with_family,citizen,True,False
I am a full-time caregiver for my spouse and have no outside income. I am currently renting an apartment for $734 per month. I live with my partner. I have been managing depression without proper medical care due to cost. My utility bills take up a large portion of my income.,1,1,0,0,1,70,unhoused,citizen,False,True
I recently lost my job at Target due to layoffs. I am currently renting an apartment for $854 per month. I have 3 children ages 6. I have been managing asthma without proper medical care due to cost. I received a shutoff notice for my gas service. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,1,140,renting,qualified_alien,True,True
I work part-time at a warehouse earning about $1188 per month. I am currently renting an apartment for $658 per month. I live alone. I have been managing arthritis without proper medical care due to cost. I received a shutoff notice for my gas service.,1,1,0,1,1,99,owned,citizen,True,True
"I am a student and work part-time, earning around $4512 a month. I am staying with family temporarily as I cannot afford my own place. I live with my partner. I have been managing hypertension without proper medical care due to cost. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,376,owned,qualified_alien,False,False
"I am self-employed doing freelance cleaning work, my income varies month to month. I own my home but am struggling to keep up with the mortgage. I am a single parent with 3 kids. I am pregnant and currently uninsured.",1,1,0,1,0,45,owned,citizen,True,False
I am a full-time caregiver for my father and have no outside income. I am renting a room in a shared house for $616 per month. I live with my spouse and 2 children. I have no health insurance. I do not have legal immigration status.,0,0,0,0,0,51,staying_with_family,undocumented,True,False
"I receive disability benefits of $1860 per month and cannot work. I am renting a room in a shared house for $1348 per month. I have 4 children ages 2, 2, 2. I have been managing hypertension without proper medical care due to cost. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,155,renting,qualified_alien,True,True
I receive disability benefits of $2352 per month and cannot work. I have been unhoused for 11 months and am staying in a shelter. I live alone. My child has arthritis and needs ongoing medical care. I received a shutoff notice for my gas service.,0,0,0,0,0,196,owned,citizen,False,True
"I am a student and work part-time, earning around $4236 a month. I am renting a room in a shared house for $825 per month. I live alone. I have been managing asthma without proper medical care due to cost. I struggle every month to pay my utility bills on time. I do not have legal immigration status.",0,0,0,0,0,353,owned,undocumented,True,True
"I am a student and work part-time, earning around $828 a month. I have been unhoused for 6 months and am staying in a shelter. I share an apartment with a roommate. I have been managing hypertension without proper medical care due to cost. My utility bills take up a large portion of my income. I do not have legal immigration status.",0,0,0,0,1,69,unhoused,undocumented,False,True
"I am a student and work part-time, earning around $1992 a month. I am renting a room in a shared house for $1712 per month. I live with my spouse and 3 children. I have a chronic condition (diabetes) that requires regular medication. I received a shutoff notice for my gas service.",0,0,0,0,0,166,unhoused,citizen,True,True
"I am self-employed doing food delivery work, my income varies month to month. I own my home but am struggling to keep up with the mortgage. I live with my spouse and 1 children. I have been managing depression without proper medical care due to cost. I do not have legal immigration status.",0,0,0,0,0,97,owned,undocumented,True,False
"I work part-time at a cleaning service earning about $1872 per month. I am currently renting an apartment for $1413 per month. I have 3 children ages 1. I am pregnant and currently uninsured. My electricity bill has been very high this winter, around $321 per month.",0,0,0,0,0,156,owned,citizen,True,True
I work part-time at a warehouse earning about $4020 per month. I recently became homeless after my landlord evicted me. I am caring for my elderly father who lives with me. I am pregnant and currently uninsured. I do not have legal immigration status.,0,0,0,0,0,335,unhoused,undocumented,True,False
"I work 20 hours a week at retail shop, making $1272 monthly. I recently became homeless after my landlord evicted me. I am a single parent with 3 kids. I have a chronic condition (asthma) that requires regular medication.",1,1,0,0,0,106,staying_with_family,citizen,True,False
I recently lost my job at a small business due to layoffs. I am renting a room in a shared house for $1564 per month. I share an apartment with a roommate. I recently lost my employer-sponsored health insurance.,0,0,0,0,0,195,renting,citizen,False,False
"I am self-employed doing freelance cleaning work, my income varies month to month. I recently became homeless after my landlord evicted me. I am caring for my elderly mother who lives with me. My child has asthma and needs ongoing medical care.",0,0,0,0,0,335,owned,citizen,True,False
I am currently unemployed and have been looking for work for 7 months. I recently became homeless after my landlord evicted me. I live alone. I recently lost my employer-sponsored health insurance. I struggle every month to pay my utility bills on time.,1,1,0,1,1,52,staying_with_family,citizen,True,True
I work part-time at a cleaning service earning about $3564 per month. I am currently renting an apartment for $1211 per month. I share an apartment with a roommate. I have been managing arthritis without proper medical care due to cost. I struggle every month to pay my utility bills on time. I do not have legal immigration status.,0,0,0,0,0,297,renting,undocumented,False,True
I work part-time at a retail shop earning about $1944 per month. I am currently renting an apartment for $668 per month. I share an apartment with a roommate. I have been managing diabetes without proper medical care due to cost. I am behind on my heating bills by $529.,0,0,0,0,0,162,unhoused,citizen,False,True
I am a full-time caregiver for my father and have no outside income. I have been unhoused for 1 months and am staying in a shelter. I am caring for my elderly father who lives with me. I have been managing depression without proper medical care due to cost.,1,1,0,0,0,106,renting,citizen,True,False
"I am a student and work part-time, earning around $4548 a month. I am renting a room in a shared house for $1445 per month. I share an apartment with a roommate. I am pregnant and currently uninsured.",0,0,0,0,0,379,staying_with_family,citizen,False,False
"I am self-employed doing rideshare work, my income varies month to month. I am renting a room in a shared house for $1744 per month. I live with my spouse and 2 children. I recently lost my employer-sponsored health insurance. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,163,renting,qualified_alien,True,False
"I work 20 hours a week at cleaning service, making $1548 monthly. I am renting a room in a shared house for $1618 per month. I live alone. My child has diabetes and needs ongoing medical care. My utility bills take up a large portion of my income.",1,1,0,0,1,129,staying_with_family,citizen,True,True
"I work 25 hours a week at retail shop, making $1788 monthly. I recently became homeless after my landlord evicted me. I live alone. I have been managing hypertension without proper medical care due to cost. I am behind on my heating bills by $221.",0,0,0,0,1,149,staying_with_family,citizen,False,True
I am currently unemployed and have been looking for work for 14 months. I am staying with family temporarily as I cannot afford my own place. I am a single parent with 1 kids. I am pregnant and currently uninsured. I struggle every month to pay my utility bills on time.,1,1,0,1,1,66,renting,citizen,True,True
I recently lost my job at Target due to layoffs. I am renting a room in a shared house for $1116 per month. I am a single parent with 4 kids. My child has arthritis and needs ongoing medical care. I am behind on my heating bills by $506. I do not have legal immigration status.,0,0,0,0,0,166,renting,undocumented,True,True
I am currently unemployed and have been looking for work for 1 months. I have been unhoused for 2 months and am staying in a shelter. I share an apartment with a roommate. I have no health insurance. I am behind on my heating bills by $594. I am a legal permanent resident and have been in the US for over 5 years.,1,1,1,0,1,34,renting,qualified_alien,False,True
"I am currently unemployed and have been looking for work for 6 months. I own my home but am struggling to keep up with the mortgage. I have 2 children ages 13, 11, 13. I recently lost my employer-sponsored health insurance. My utility bills take up a large portion of my income.",1,1,0,1,1,64,renting,citizen,True,True
"I work 25 hours a week at grocery store, making $1008 monthly. I have been unhoused for 7 months and am staying in a shelter. I live with my spouse and 2 children. I have been managing diabetes without proper medical care due to cost. My electricity bill has been very high this winter, around $287 per month.",1,1,0,1,1,84,renting,citizen,True,True
I receive disability benefits of $4680 per month and cannot work. I am staying with family temporarily as I cannot afford my own place. I share an apartment with a roommate. I am pregnant and currently uninsured.,0,0,0,0,0,390,owned,citizen,False,False
"I work 10 hours a week at restaurant, making $1608 monthly. I am renting a room in a shared house for $1097 per month. I am caring for my elderly father who lives with me. I have a chronic condition (hypertension) that requires regular medication. I struggle every month to pay my utility bills on time. I do not have legal immigration status.",0,0,0,0,1,134,renting,undocumented,True,True
"I am self-employed doing handyman work, my income varies month to month. I have been unhoused for 7 months and am staying in a shelter. I am a single parent with 4 kids. I have been managing arthritis without proper medical care due to cost. I am behind on my heating bills by $303. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,271,owned,qualified_alien,True,True
"I am a student and work part-time, earning around $1872 a month. I am currently renting an apartment for $1754 per month. I am caring for my elderly father who lives with me. I have a chronic condition (diabetes) that requires regular medication. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,156,unhoused,qualified_alien,True,False
"I work 25 hours a week at retail shop, making $2328 monthly. I am currently renting an apartment for $1336 per month. I am caring for my elderly grandmother who lives with me. I have been managing hypertension without proper medical care due to cost. I am behind on my heating bills by $481.",0,0,0,0,0,194,unhoused,citizen,True,True
"I am self-employed doing handyman work, my income varies month to month. I am currently renting an apartment for $1588 per month. I live with my partner. My child has diabetes and needs ongoing medical care.",0,0,0,0,0,182,staying_with_family,citizen,False,False
I am a full-time caregiver for my mother and have no outside income. I have been unhoused for 12 months and am staying in a shelter. I live alone. I recently lost my employer-sponsored health insurance. I am behind on my heating bills by $432. I am a legal permanent resident and have been in the US for over 5 years.,0,0,0,0,1,149,owned,qualified_alien,True,True
"I work 25 hours a week at cleaning service, making $1224 monthly. I am currently renting an apartment for $1039 per month. I live with my partner. I have been managing diabetes without proper medical care due to cost. My utility bills take up a large portion of my income.",1,1,0,0,1,102,staying_with_family,citizen,False,True
"I am a student and work part-time, earning around $1848 a month. I have been unhoused for 10 months and am staying in a shelter. I live alone. I have been managing hypertension without proper medical care due to cost. My utility bills take up a large portion of my income. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,154,unhoused,qualified_alien,False,True
I recently lost my job at a small business due to layoffs. I am staying with family temporarily as I cannot afford my own place. I share an apartment with a roommate. I have been managing asthma without proper medical care due to cost. My utility bills take up a large portion of my income.,1,1,1,0,1,25,unhoused,citizen,False,True
I am currently unemployed and have been looking for work for 16 months. I recently became homeless after my landlord evicted me. I share an apartment with a roommate. My child has depression and needs ongoing medical care. I am behind on my heating bills by $192. I do not have legal immigration status.,0,0,0,0,1,148,staying_with_family,undocumented,False,True
"I am a student and work part-time, earning around $672 a month. I have been unhoused for 1 months and am staying in a shelter. My household includes myself, my partner, and our 4 children. I have been managing asthma without proper medical care due to cost.",1,1,0,1,0,56,owned,citizen,True,False
"I am self-employed doing handyman work, my income varies month to month. I am staying with family temporarily as I cannot afford my own place. I live alone. I have a chronic condition (hypertension) that requires regular medication. I am a legal permanent resident and have been in the US for over 5 years.",0,0,0,0,0,188,renting,qualified_alien,True,False
I recently lost my job at Target due to layoffs. I own my home but am struggling to keep up with the mortgage. I am caring for my elderly mother who lives with me. I have been managing diabetes without proper medical care due to cost. I struggle every month to pay my utility bills on time. I am a legal permanent resident and have been in the US for over 5 years.,1,1,0,0,1,56,unhoused,qualified_alien,True,True
I work part-time at a restaurant earning about $3804 per month. I am staying with family temporarily as I cannot afford my own place. I live with my partner. I have a chronic condition (hypertension) that requires regular medication. My utility bills take up a large portion of my income. I do not have legal immigration status.,0,0,0,0,0,317,owned,undocumented,False,True
I am currently unemployed and have been looking for work for 4 months. I am staying with family temporarily as I cannot afford my own place. I am a single parent with 2 kids. I have no health insurance. I am behind on my heating bills by $176.,1,1,1,1,1,28,renting,citizen,True,True
"I am a student and work part-time, earning around $1452 a month. I recently became homeless after my landlord evicted me. I live with my spouse and 2 children. I have no health insurance.",1,1,0,0,0,121,staying_with_family,citizen,True,False
"I work part-time at a cleaning service earning about $1212 per month. I recently became homeless after my landlord evicted me. My household includes myself, my partner, and our 2 children. I have no health insurance. My electricity bill has been very high this winter, around $451 per month.",1,1,0,0,1,101,staying_with_family,citizen,True,True
I receive disability benefits of $2100 per month and cannot work. I recently became homeless after my landlord evicted me. I live with my partner. My child has diabetes and needs ongoing medical care.,0,0,0,0,0,175,unhoused,citizen,False,False
"I work 10 hours a week at cleaning service, making $420 monthly. I am renting a room in a shared house for $738 per month. I live with my partner. I recently lost my employer-sponsored health insurance. My electricity bill has been very high this winter, around $554 per month.",1,1,0,0,1,35,owned,citizen,False,True
